,statename,year,month,case_rate,death_rate,emp_combined,emp_combined_inclow,emp_combined_incmiddle,emp_combined_inchigh,emp_combined_ss60,gps_retail_and_recreation,gps_grocery_and_pharmacy,gps_parks,gps_transit_stations,gps_workplaces,gps_residential,gps_away_from_home,state_AK,state_AL,state_AR,state_AZ,state_CA,state_CO,state_CT,state_DC,state_DE,state_FL,state_GA,state_HI,state_IA,state_ID,state_IL,state_IN,state_KS,state_KY,state_LA,state_MA,state_MD,state_ME,state_MI,state_MN,state_MO,state_MS,state_MT,state_NC,state_ND,state_NE,state_NH,state_NJ,state_NM,state_NV,state_NY,state_OH,state_OK,state_OR,state_PA,state_RI,state_SC,state_SD,state_TN,state_TX,state_UT,state_VA,state_VT,state_WA,state_WI,state_WV,state_WY
10,Alaska,2020,4,37.50666666666666,0.7882666666666671,-0.20113333333333336,-0.42233333333333345,-0.1387666666666667,-0.20759999999999998,-0.005151666666666662,-0.3397333333333333,-0.11475999999999997,0.21844333333333335,-0.47300000000000003,-0.3848666666666666,0.14719999999999997,-0.17556666666666668,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,Alaska,2020,5,54.041935483870965,1.0685483870967742,-0.13956129032258066,-0.43970967741935485,-0.08338387096774191,-0.09360000000000002,0.06766870967741934,-0.051161612903225795,0.08173258064516131,1.0497419354838713,-0.3026774193548387,-0.27622580645161293,0.08207741935483871,-0.09170322580645163,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,Alaska,2020,6,104.85333333333332,1.3263333333333338,-0.039133333333333326,-0.26380000000000003,0.004040666666666667,-0.006818770000000001,-0.029813333333333365,0.08398666666666668,0.14659999999999998,1.5410000000000001,-0.08136333333333332,-0.20640000000000008,0.04520333333333333,-0.04560666666666668,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,Alaska,2020,7,298.258064516129,2.186451612903226,0.013673870967741936,-0.23970967741935487,0.07397741935483872,0.027531200000000002,0.30000000000000004,0.1406774193548387,0.18051612903225808,1.8283870967741938,0.037877096791354835,-0.22612903225806458,0.04286129032258065,-0.04414193548387097,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,Alaska,2020,8,682.8387096774194,3.7167741935483876,0.02664193548387097,-0.2831290322580646,0.1132322580645161,0.018256129032258067,0.30000000000000004,0.07689032258064517,0.1292709677419355,0.9151612903225806,0.028151612903225803,-0.22238709677419355,0.04161612903225806,-0.042061290322580616,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,Alaska,2020,9,1003.5333333333333,5.763,-0.029764,-0.3223333333333333,0.0362783,-0.006766333333333333,-0.25466133333333335,0.021133333333333337,0.052240999999999996,0.44683333333333336,-0.04724999999999999,-0.19349999999999992,0.04328333333333333,-0.044496666666666664,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,Arizona,2020,2,0.013700000000000002,0.0,0.022466666666666666,-0.0006508333333333335,0.027,0.03813333333333333,0.007830000000000002,0.0469,0.014780000000000001,0.055033333333333344,0.04833333333333333,0.01001,0.0009549999999999998,-0.003178333333333333,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,Arizona,2020,3,3.0272354838709674,0.05229677419354838,-0.006712838709677423,-0.0460458064516129,0.005919032258064513,0.007816774193548382,-0.01303193548387097,-0.08251096774193548,0.03977741935483871,0.02403870966025807,-0.09486483870967742,-0.14621645161290325,0.051790322580645164,-0.06089451612903225,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,Arizona,2020,4,58.93,2.230633333333334,-0.1568,-0.2702333333333333,-0.12852666666666665,-0.09437333333333335,-0.11389333333333336,-0.3761,-0.15076666666666663,-0.20313333333333336,-0.3978,-0.4318333333333333,0.15476666666666664,-0.18899999999999997,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,Arizona,2020,5,184.8709677419355,8.804838709677417,-0.12332580645161291,-0.2948387096774194,-0.07968064516129035,-0.03197645161290322,-0.08271935483870965,-0.2552258064516129,-0.05960967741935485,-0.11537064516129031,-0.3201290322580645,-0.3648387096774193,0.12035483870967746,-0.14380645161290323,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
