,statename,year,month,case_rate,death_rate,emp_combined,emp_combined_inclow,emp_combined_incmiddle,emp_combined_inchigh,gps_retail_and_recreation,gps_grocery_and_pharmacy,gps_workplaces,gps_residential,gps_away_from_home
28,Arkansas,2020,6,444.3,6.511666666666667,-0.08865000000000002,-0.19833333333333333,-0.019823466666666664,0.0,-0.029149999999999995,0.09488333333333333,-0.22746666666666662,0.05474999999999999,-0.06143333333333334
29,Arkansas,2020,7,1039.4193548387098,11.573548387096775,-0.11832258064516128,-0.18370967741935482,-0.06362903225806453,0.0,-0.04321645161290324,0.06358709677419354,-0.2537741935483871,0.05930322580645162,-0.06769999999999998
30,Arkansas,2020,8,1746.5806451612902,20.400000000000002,-0.12387096774193551,-0.18729032258064515,-0.06468709677419357,0.0,-0.042035483870967755,0.02945258064516129,-0.2462258064516129,0.05031935483870969,-0.05699999999999998
31,Arkansas,2020,9,2400.4333333333334,35.95000000000001,-0.13373333333333337,-0.19830000000000003,-0.07440999999999999,0.0,-0.06237666666666666,-0.0023356666666666673,-0.21889999999999998,0.034473333333333335,-0.03907666666666666
32,California,2020,2,0.0544,0.0,0.025349999999999998,-0.028999999999999998,0.03303333333333334,0.03186666666666667,0.025733333333333334,0.011186666666666666,0.019516666666666665,-0.002381666666666667,0.0017400000000000002
33,California,2020,3,4.523377419354838,0.09088064516129032,-0.02535516129032258,-0.09185806451612903,-0.017638387096774195,-0.01415809677419355,-0.15454193548387096,0.012259032258064519,-0.1761648387096774,0.08448354838709676,-0.10427141935483872
34,California,2020,4,73.05333333333334,2.5462666666666665,-0.21713333333333334,-0.33399999999999996,-0.23213333333333333,-0.14176666666666665,-0.49663333333333337,-0.18813333333333332,-0.48240000000000005,0.20713333333333334,-0.25560000000000005
35,California,2020,5,202.19354838709677,8.112258064516126,-0.18493548387096773,-0.32225806451612904,-0.20493548387096774,-0.09175483870967743,-0.448741935483871,-0.08490967741935483,-0.4117741935483872,0.16506451612903225,-0.1999354838709678
36,California,2020,6,413.8666666666667,13.133333333333333,-0.1197666666666667,-0.26753333333333335,-0.12893333333333332,-0.04336,-0.3304,-0.06194666666666667,-0.3378333333333333,0.12633333333333335,-0.15039999999999998
37,California,2020,7,931.0645161290323,18.990322580645163,-0.10964516129032263,-0.26838709677419353,-0.11283870967741938,-0.04096451612903225,-0.29377419354838713,-0.07092580645161291,-0.3536451612903226,0.11974193548387105,-0.14261290322580647
